0;-1.5
0.01;-1.3
0.027;-1.4
0.044;-1.2
0.063;-1.1
0.083;-0.6
0.102;0.2
0.121;1.2
0.138;2.3
0.157;3.6
0.178;4.8
0.196;7.2
0.222;8.7
0.241;10.1
0.26;11.6
0.277;13.5
0.297;14.9
0.315;16.8
0.335;18.3
0.352;19.7
0.369;21.5
0.39;23.1
0.41;24.6
0.428;26.2
0.445;27.6
0.462;29.3
0.482;31.0
0.503;32.6
0.52;34.2
0.537;35.7
0.558;37.5
0.578;38.9
0.595;40.6
0.613;42.0
0.631;43.7
0.65;45.2
0.669;46.9
0.688;48.5
0.705;50.2
0.726;51.6
0.743;53.1
0.761;54.7
0.779;56.1
0.796;57.9
0.816;59.7
0.835;61.1
0.854;62.6
0.871;64.2
0.89;65.9
0.909;67.3
0.926;69.1
0.946;70.6
0.964;72.2
0.984;73.6
1.001;75.0
1.018;76.9
1.039;78.6
1.056;80.1
1.075;81.7
1.095;83.1
1.111;84.6
1.131;85.7
1.15;86.8
1.167;87.8
1.186;88.4
1.207;89.0
1.224;89.5
1.243;89.7
1.262;89.8
1.28;90.0
1.297;89.9
1.315;89.8
1.333;89.9
1.352;89.9
1.369;89.8
1.39;89.9
1.407;90.0
1.426;89.9
1.446;89.9
1.465;90.0
1.484;89.8
